Date,Open,High,Low,Close,Adj Close,Volume
2019-09-09,35.509998,36.410000,34.990002,35.869999,35.022446,55096400
2019-09-16,35.529999,35.830002,34.520000,34.750000,33.928913,96616900
2019-09-23,34.700001,35.700001,34.049999,35.529999,34.690479,72826700
2019-09-30,35.549999,35.790001,32.770000,33.450001,32.659630,103914600
2019-10-07,33.290001,34.279999,32.560001,33.880001,33.093636,73767300
2019-10-14,33.810001,35.130001,33.720001,34.240002,33.445282,72380300
2019-10-21,34.259998,37.130001,33.990002,36.799999,35.945862,132502500
2019-10-28,36.650002,37.529999,35.680000,36.349998,35.506302,106106700
2019-11-04,36.450001,37.990002,36.020000,36.270000,35.442841,106856600
2019-11-11,36.200001,36.799999,35.160000,35.680000,34.866295,68824300
2019-11-18,36.000000,36.200001,34.849998,35.730000,34.915161,73729800
2019-11-25,35.790001,35.900002,34.020000,34.799999,34.006363,93126600
2019-12-02,34.919998,37.070000,34.840000,35.849998,35.032417,124378700
2019-12-09,36.000000,36.880001,35.349998,36.310001,35.497234,135882800
2019-12-16,36.439999,36.750000,35.480000,36.500000,35.720676,128283200
2019-12-23,36.500000,37.689999,36.310001,37.299999,36.503586,41479900
2019-12-30,37.340000,38.240002,36.860001,37.630001,36.826546,54783300
2020-01-06,37.549999,37.580002,34.520000,34.599998,33.874939,142221900
2020-01-13,35.020000,35.400002,34.400002,34.939999,34.207809,122971900
2020-01-20,34.799999,35.000000,33.400002,34.240002,33.522488,110477500
2020-01-27,33.740002,34.090000,32.540001,32.820000,32.132236,118893500
2020-02-03,33.000000,34.150002,32.790001,33.709999,33.003590,131713000
2020-02-10,33.730000,35.480000,33.669998,33.810001,33.116623,259595800
2020-02-17,33.990002,34.419998,32.450001,32.680000,32.009800,143469100
2020-02-24,32.680000,32.680000,30.570000,32.000000,31.795618,152307200
2020-03-02,31.930000,32.290001,29.320000,29.870001,29.679226,189031900
2020-03-09,28.000000,29.700001,22.410000,26.209999,26.054813,288470900
2020-03-16,23.500000,26.709999,21.129999,22.049999,21.919445,363697900
2020-03-23,22.260000,24.820000,20.000000,22.969999,22.833996,241574300
2020-03-30,23.110001,24.389999,20.010000,20.660000,20.537672,191743900
2020-04-06,22.139999,24.700001,21.889999,23.500000,23.376041,155609400
2020-04-13,23.450001,25.150000,22.610001,23.219999,23.097519,146449300
2020-04-20,22.719999,23.129999,20.370001,20.879999,20.769863,186909800
2020-04-27,21.540001,24.120001,21.100000,22.770000,22.649895,174509400
2020-05-04,21.950001,23.370001,21.129999,22.320000,22.202269,201092300
2020-05-11,22.170000,23.030001,20.730000,21.629999,21.530090,215715000
2020-05-18,22.450001,23.350000,21.360001,22.959999,22.853945,243937800
2020-05-25,23.910000,24.420000,22.709999,23.040001,22.933578,195552200
2020-06-01,22.830000,28.700001,22.700001,27.260000,27.134087,264752300
2020-06-08,27.610001,28.480000,25.620001,26.059999,25.956526,186850100
2020-06-15,25.100000,28.240000,25.030001,28.090000,27.978468,227279600
2020-06-22,28.040001,28.240000,25.510000,25.709999,25.607916,232292500
2020-06-29,25.900000,27.250000,25.450001,26.500000,26.394781,167471600
2020-07-06,27.120001,27.850000,26.320000,27.200001,27.107979,195811600
2020-07-13,27.450001,27.799999,26.440001,27.219999,27.127911,137116300
2020-07-20,27.250000,28.040001,26.110001,26.469999,26.380445,170947800
2020-07-27,26.629999,28.490000,26.540001,26.889999,26.799026,160376300
2020-08-03,27.100000,27.709999,25.360001,25.480000,25.393797,259456900
2020-08-10,25.520000,26.290001,24.370001,24.730000,24.660091,177481900
2020-08-17,24.719999,24.750000,23.540001,24.080000,24.011927,164230200
2020-08-24,24.250000,24.830000,23.510000,24.430000,24.414440,187528400
2020-08-31,24.170000,25.500000,23.549999,24.959999,24.944101,249080700
2020-09-07,24.959999,24.959999,23.900000,23.910000,23.910000,95230300
2020-09-11,23.950001,24.070000,23.430000,23.629999,23.629999,23112100
