Date,Open,High,Low,Close,Adj Close,Volume
2019-09-09,48.660000,52.570000,48.660000,51.340000,51.340000,11043000
2019-09-16,49.419998,50.080002,46.599998,48.730000,48.730000,29512200
2019-09-23,48.480000,49.900002,46.919998,49.619999,49.619999,12801200
2019-09-30,49.799999,51.320000,46.709999,50.950001,50.950001,14761400
2019-10-07,50.900002,51.730000,48.700001,50.400002,50.400002,12297800
2019-10-14,50.599998,52.279999,50.099998,50.990002,50.990002,13677600
2019-10-21,50.840000,53.590000,50.549999,52.540001,52.540001,11373600
2019-10-28,52.540001,53.680000,52.029999,53.549999,53.549999,11259200
2019-11-04,53.700001,54.570000,49.709999,50.919998,50.919998,14641900
2019-11-11,50.470001,50.779999,47.700001,50.099998,50.099998,9838100
2019-11-18,50.099998,54.669998,49.869999,54.669998,54.669998,9617000
2019-11-25,54.250000,54.630001,50.310001,53.099998,53.099998,14560700
2019-12-02,52.900002,54.830002,52.240002,54.700001,54.700001,11434800
2019-12-09,54.689999,57.049999,52.330002,56.860001,56.860001,15535000
2019-12-16,57.000000,58.060001,56.330002,57.000000,57.000000,12028800
2019-12-23,57.000000,58.150002,56.660000,57.799999,57.799999,5508700
2019-12-30,57.599998,59.299999,56.610001,56.759998,56.759998,7349900
2020-01-06,56.610001,58.180000,54.560001,57.500000,57.500000,13372900
2020-01-13,57.500000,61.349998,57.419998,61.349998,61.349998,11630300
2020-01-20,61.250000,61.770000,57.860001,59.459999,59.459999,10006000
2020-01-27,56.700001,62.869999,56.660000,59.259998,59.259998,18976600
2020-02-03,59.259998,62.000000,56.290001,56.290001,56.290001,14248900
2020-02-10,56.299999,60.549999,55.340000,59.240002,59.240002,13034500
2020-02-17,59.990002,59.990002,54.959999,55.650002,55.650002,9205000
2020-02-24,55.650002,55.650002,42.549999,44.439999,44.439999,21167900
2020-03-02,45.650002,46.959999,33.799999,38.680000,38.680000,39114300
2020-03-09,36.000000,36.799999,20.000000,24.709999,24.709999,47970600
2020-03-16,17.400000,20.780001,8.740000,13.800000,13.800000,92267100
2020-03-23,14.220000,23.480000,12.530000,19.500000,19.500000,84689700
2020-03-30,20.969999,22.379999,13.120000,14.100000,14.100000,57258600
2020-04-06,15.800000,17.900000,14.710000,16.299999,16.299999,52526000
2020-04-13,16.389999,17.200001,15.620000,16.190001,16.190001,50347100
2020-04-20,15.990000,16.840000,13.700000,13.990000,13.990000,49949900
2020-04-27,14.610000,17.480000,13.890000,17.400000,17.400000,52584900
2020-05-04,15.900000,16.200001,13.450000,13.600000,13.600000,61011400
2020-05-11,13.500000,13.790000,11.010000,11.080000,11.080000,57803000
2020-05-18,11.660000,16.870001,11.440000,14.800000,14.800000,181242500
2020-05-25,15.600000,16.100000,14.080000,14.280000,14.280000,71631900
2020-06-01,14.200000,21.730000,14.000000,21.160000,21.160000,161598800
2020-06-08,23.440001,29.559999,21.000000,22.120001,22.120001,226350900
2020-06-15,20.700001,24.459999,19.809999,21.799999,21.799999,162621400
2020-06-22,21.650000,22.959999,20.000000,20.000000,20.000000,126519700
2020-06-29,20.510000,21.830000,19.219999,21.150000,21.150000,87505900
2020-07-06,21.900000,22.360001,20.629999,21.910000,21.910000,73281300
2020-07-13,22.270000,22.900000,20.629999,21.799999,21.799999,90349100
2020-07-20,21.990000,22.219999,20.049999,20.540001,20.540001,48433500
2020-07-27,20.709999,21.760000,20.120001,20.309999,20.309999,44920700
2020-08-03,20.600000,21.830000,19.690001,21.010000,21.010000,45931200
2020-08-10,21.080000,24.700001,20.870001,22.490000,22.490000,116330600
2020-08-17,22.400000,22.450001,20.730000,21.690001,21.690001,45026700
2020-08-24,21.920000,23.010000,21.240000,22.879999,22.879999,58680900
2020-08-31,22.700001,24.799999,22.110001,24.590000,24.590000,73074100
2020-09-07,24.590000,27.450001,24.100000,26.100000,26.100000,60098600
2020-09-11,26.900000,27.070000,25.110001,26.580000,26.580000,18705500
