Date,Open,High,Low,Close,Adj Close,Volume
2019-09-12,23.379999,23.440001,22.709999,23.049999,22.825617,2963900
2019-09-13,23.180000,23.830000,23.059999,23.719999,23.489100,3332000
2019-09-16,23.730000,23.820000,23.139999,23.240000,23.013769,2906100
2019-09-17,23.240000,23.799999,23.049999,23.799999,23.568319,1880300
2019-09-18,23.670000,24.100000,23.559999,24.000000,23.766373,2331100
2019-09-19,24.190001,24.389999,23.690001,23.690001,23.459391,2477200
2019-09-20,23.809999,24.400000,23.709999,24.400000,24.162476,4990900
2019-09-23,24.100000,24.450001,24.000000,24.200001,24.004644,1906300
2019-09-24,24.250000,24.320000,23.860001,23.879999,23.687227,2277400
2019-09-25,23.910000,24.440001,23.830000,24.240000,24.044321,2421100
2019-09-26,24.350000,24.520000,24.090000,24.240000,24.044321,2029300
2019-09-27,24.270000,24.420000,24.129999,24.129999,23.935207,1130100
2019-09-30,24.230000,24.450001,24.070000,24.230000,24.034401,1992200
2019-10-01,24.000000,24.540001,23.950001,24.230000,24.034401,1909900
2019-10-02,24.250000,24.420000,23.830000,23.830000,23.637632,2299800
2019-10-03,23.910000,24.070000,23.510000,23.680000,23.488840,2046000
2019-10-04,23.700001,23.700001,23.420000,23.610001,23.419409,2106400
2019-10-07,23.510000,23.610001,22.830000,22.850000,22.665543,3167100
2019-10-08,22.870001,23.330000,22.629999,22.809999,22.625866,2652900
2019-10-09,22.889999,23.080000,22.780001,22.870001,22.685383,1855100
2019-10-10,22.900000,23.150000,22.830000,22.969999,22.784573,1964000
2019-10-11,23.190001,23.870001,23.070000,23.670000,23.478922,3536200
2019-10-14,23.760000,24.160000,23.500000,23.750000,23.558277,2221000
2019-10-15,23.750000,23.980000,23.629999,23.780001,23.588034,2101000
2019-10-16,23.879999,24.400000,23.580000,24.370001,24.173273,3043200
2019-10-17,24.299999,24.570000,24.139999,24.240000,24.044321,2623300
2019-10-18,24.110001,24.360001,24.020000,24.360001,24.163353,1877700
2019-10-21,24.270000,24.459999,24.059999,24.440001,24.242706,2904000
2019-10-22,24.370001,24.990000,24.309999,24.740000,24.540283,3519000
2019-10-23,25.490000,25.959999,25.250000,25.840000,25.631405,8239100
2019-10-24,25.850000,26.590000,25.770000,26.100000,25.889307,4501100
2019-10-25,25.990000,26.270000,25.410000,25.410000,25.204876,4296700
2019-10-28,25.540001,26.070000,25.490000,25.580000,25.373505,3260300
2019-10-29,25.580000,25.980000,25.400000,25.520000,25.313988,3084300
2019-10-30,25.559999,26.129999,25.540001,25.850000,25.641325,2900500
2019-10-31,25.799999,26.250000,25.500000,25.500000,25.294149,2935400
2019-11-01,25.879999,26.360001,25.700001,25.879999,25.671080,3419600
2019-11-04,26.080000,26.440001,26.059999,26.129999,25.919064,2431100
2019-11-05,26.129999,26.870001,26.010000,26.740000,26.524139,3261300
2019-11-06,26.950001,27.170000,26.440001,27.170000,26.950666,3530100
2019-11-07,27.160000,28.090000,27.120001,28.090000,27.863243,3410600
2019-11-08,27.990000,28.969999,27.709999,28.240000,28.012030,6012800
2019-11-11,28.240000,29.170000,27.799999,29.090000,28.855169,3739900
2019-11-12,28.969999,29.340000,28.219999,28.500000,28.269934,5273400
2019-11-13,28.469999,29.350000,28.340000,29.209999,28.974199,6007800
2019-11-14,29.340000,29.680000,29.080000,29.260000,29.023798,6128000
2019-11-18,29.500000,29.650000,29.299999,29.299999,29.063473,5107300
2019-11-19,29.410000,29.510000,28.920000,29.200001,28.964281,3106300
2019-11-21,29.250000,29.260000,28.620001,28.879999,28.646864,4597800
2019-11-22,29.000000,29.120001,28.930000,29.059999,28.825411,3113400
2019-11-25,29.070000,29.350000,28.950001,29.100000,28.865088,3612200
2019-11-26,28.980000,29.100000,28.500000,28.629999,28.398882,6510100
2019-11-27,28.750000,29.469999,28.650000,29.049999,28.815493,4994500
2019-11-28,29.070000,29.430000,29.059999,29.430000,29.192427,1996800
2019-11-29,29.430000,30.420000,29.110001,30.420000,30.174435,4420000
2019-12-02,30.420000,30.840000,30.160000,30.160000,29.916533,3937000
2019-12-03,30.290001,30.770000,30.129999,30.709999,30.462091,2702100
2019-12-04,30.820000,31.820000,30.799999,31.820000,31.563129,3104600
2019-12-05,31.850000,32.919998,31.730000,32.770000,32.505463,6754900
2019-12-06,32.889999,33.049999,32.400002,32.740002,32.475704,5048500
2019-12-09,32.580002,32.669998,31.809999,31.910000,31.652405,5051900
2019-12-10,31.910000,32.200001,31.809999,31.969999,31.711920,4659100
2019-12-11,32.000000,33.070000,31.610001,33.070000,32.803043,6261300
2019-12-12,33.099998,33.930000,33.070000,33.799999,33.527145,4435800
2019-12-13,34.000000,34.279999,33.889999,34.049999,33.775127,4211000
2019-12-16,34.110001,34.380001,33.490002,33.490002,33.219650,3555300
2019-12-17,33.580002,34.000000,33.419998,33.959999,33.685856,3829700
2019-12-18,34.049999,34.200001,33.270000,33.900002,33.626343,7087700
2019-12-19,33.830002,33.889999,33.119999,33.599998,33.328758,5400600
2019-12-20,33.759998,34.270000,33.650002,33.889999,33.616421,5577100
2019-12-23,34.000000,34.139999,33.389999,33.790001,33.555084,5025100
2019-12-26,33.869999,34.919998,33.740002,34.849998,34.607716,3290200
2019-12-27,35.000000,35.340000,34.910000,35.340000,35.094311,3002700
2019-12-30,35.400002,35.480000,34.660000,34.660000,34.419037,2919100
2020-01-02,34.900002,35.470001,34.720001,35.240002,34.995003,2938000
2020-01-03,35.000000,35.250000,34.669998,34.790001,34.548134,3672900
2020-01-06,34.700001,35.099998,34.389999,34.880001,34.637508,3183300
2020-01-07,34.910000,35.169998,34.660000,35.150002,34.905632,3151800
2020-01-08,35.200001,35.220001,33.820000,33.820000,33.584873,4076900
2020-01-09,34.000000,34.060001,33.220001,33.320000,33.088348,4921500
2020-01-10,33.500000,34.299999,33.490002,34.000000,33.763622,3141900
2020-01-13,34.080002,34.430000,34.009998,34.320000,34.081398,4100100
2020-01-14,34.439999,35.000000,34.090000,35.000000,34.756672,5027000
2020-01-15,35.049999,35.230000,34.669998,35.230000,34.985073,3138800
2020-01-16,35.290001,36.500000,35.290001,35.869999,35.620625,4693600
2020-01-17,36.020000,36.880001,36.000000,36.799999,36.544155,5864100
2020-01-20,36.799999,37.930000,36.639999,37.930000,37.666302,2245100
2020-01-21,37.849998,38.080002,37.410000,37.490002,37.229362,3066900
2020-01-22,37.840000,38.900002,37.549999,38.900002,38.629559,2583100
2020-01-23,38.599998,39.650002,38.180000,39.650002,39.374348,4355600
2020-01-24,39.700001,41.459999,39.410000,41.430000,41.141968,5073000
2020-01-27,40.799999,41.750000,39.820000,40.970001,40.685169,5568100
2020-01-28,40.950001,42.400002,40.730000,42.009998,41.717937,4375100
2020-01-29,42.360001,44.279999,42.360001,42.389999,42.095295,8016300
2020-01-30,41.799999,42.700001,40.540001,40.970001,40.685169,8422600
2020-01-31,40.799999,41.480000,39.240002,39.410000,39.136009,9679900
2020-02-03,39.799999,41.080002,39.669998,40.669998,40.387253,6336100
2020-02-04,41.660000,42.080002,40.419998,40.520000,40.238297,5549600
2020-02-05,40.840000,41.720001,40.840000,41.369999,41.082382,5252500
2020-02-06,41.919998,43.580002,41.660000,42.840000,42.542168,6483000
2020-02-07,42.869999,43.369999,41.099998,41.099998,40.814259,3938500
2020-02-10,41.080002,42.299999,40.320000,41.529999,41.241272,4665200
2020-02-11,42.029999,43.060001,41.750000,43.049999,42.750710,3279100
2020-02-12,43.400002,45.180000,43.380001,44.560001,44.250214,6359500
2020-02-13,44.299999,45.689999,43.200001,45.570000,45.253189,5700800
2020-02-14,45.759998,47.500000,45.570000,45.570000,45.253189,8183400
2020-02-17,45.650002,46.580002,44.939999,45.779999,45.461723,3932700
2020-02-18,45.599998,45.700001,44.500000,44.700001,44.389240,7730100
2020-02-19,46.000000,49.279999,46.000000,48.820000,48.480591,21967000
2020-02-20,48.049999,49.599998,47.490002,47.490002,47.159843,7249800
2020-02-21,47.430000,50.130001,47.000000,49.799999,49.453781,8512700
2020-02-27,46.810001,46.810001,43.689999,43.970001,43.811905,11766500
2020-02-28,43.750000,44.680000,41.650002,43.150002,42.994850,12750900
2020-03-02,43.900002,46.990002,43.259998,46.990002,46.821045,9975000
2020-03-03,47.389999,49.570000,47.040001,47.919998,47.747696,9693600
2020-03-04,49.500000,49.799999,47.840000,48.459999,48.285751,6111700
2020-03-05,48.189999,48.700001,45.599998,46.700001,46.532085,6485300
2020-03-06,44.009998,45.110001,43.349998,44.020000,43.861721,9383300
2020-03-09,40.009998,41.490002,39.020000,39.750000,39.607075,8066600
2020-03-10,42.000000,43.150002,40.400002,41.910000,41.759304,8531200
2020-03-11,40.849998,41.939999,37.009998,39.200001,39.059055,7191400
2020-03-12,36.000000,36.070000,32.529999,33.000000,32.881348,7630000
2020-03-13,37.500000,38.610001,31.900000,34.529999,34.405842,12024300
